date,RegionName,AreaCode,SalesVolume
01/05/2016,East Midlands,E12000004,51
01/05/2016,East of England,E12000006,16
01/05/2016,London,E12000007,27
01/05/2016,North East,E12000001,85
01/05/2016,North West,E12000002,163
01/05/2016,South East,E12000008,65
01/05/2016,South West,E12000009,31
01/05/2016,West Midlands Region,E12000005,45
01/05/2016,Yorkshire and The Humber,E12000003,84
01/05/2016,England,E92000001,567
01/05/2016,Wales,W92000004,60
01/06/2016,East Midlands,E12000004,56
01/06/2016,East of England,E12000006,10
01/06/2016,London,E12000007,38
01/06/2016,North East,E12000001,90
01/06/2016,North West,E12000002,150
01/06/2016,South East,E12000008,70
01/06/2016,South West,E12000009,37
01/06/2016,West Midlands Region,E12000005,64
01/06/2016,Yorkshire and The Humber,E12000003,108
01/06/2016,England,E92000001,623
01/06/2016,Wales,W92000004,66
01/07/2016,East Midlands,E12000004,49
01/07/2016,East of England,E12000006,23
01/07/2016,London,E12000007,29
01/07/2016,North East,E12000001,67
01/07/2016,North West,E12000002,157
01/07/2016,South East,E12000008,63
01/07/2016,South West,E12000009,34
01/07/2016,West Midlands Region,E12000005,70
01/07/2016,Yorkshire and The Humber,E12000003,96
01/07/2016,England,E92000001,588
01/07/2016,Wales,W92000004,63
01/08/2016,East Midlands,E12000004,60
01/08/2016,East of England,E12000006,12
01/08/2016,London,E12000007,26
01/08/2016,North East,E12000001,89
01/08/2016,North West,E12000002,160
01/08/2016,South East,E12000008,66
01/08/2016,South West,E12000009,45
01/08/2016,West Midlands Region,E12000005,77
01/08/2016,Yorkshire and The Humber,E12000003,86
01/08/2016,England,E92000001,621
01/08/2016,Wales,W92000004,54
01/09/2016,East Midlands,E12000004,77
01/09/2016,East of England,E12000006,12
01/09/2016,London,E12000007,35
01/09/2016,North East,E12000001,93
01/09/2016,North West,E12000002,182
01/09/2016,South East,E12000008,56
01/09/2016,South West,E12000009,43
01/09/2016,West Midlands Region,E12000005,89
01/09/2016,Yorkshire and The Humber,E12000003,113
01/09/2016,England,E92000001,700
01/09/2016,Wales,W92000004,67
01/10/2016,East Midlands,E12000004,77
01/10/2016,East of England,E12000006,17
01/10/2016,London,E12000007,56
01/10/2016,North East,E12000001,100
01/10/2016,North West,E12000002,142
01/10/2016,South East,E12000008,85
01/10/2016,South West,E12000009,54
01/10/2016,West Midlands Region,E12000005,72
01/10/2016,Yorkshire and The Humber,E12000003,99
01/10/2016,England,E92000001,702
01/10/2016,Wales,W92000004,62
01/11/2016,East Midlands,E12000004,77
01/11/2016,East of England,E12000006,22
01/11/2016,London,E12000007,38
01/11/2016,North East,E12000001,83
01/11/2016,North West,E12000002,179
01/11/2016,South East,E12000008,97
01/11/2016,South West,E12000009,57
01/11/2016,West Midlands Region,E12000005,72
01/11/2016,Yorkshire and The Humber,E12000003,114
01/11/2016,England,E92000001,739
01/11/2016,Wales,W92000004,63
01/12/2016,East Midlands,E12000004,53
01/12/2016,East of England,E12000006,18
01/12/2016,London,E12000007,51
01/12/2016,North East,E12000001,74
01/12/2016,North West,E12000002,155
01/12/2016,South East,E12000008,70
01/12/2016,South West,E12000009,50
01/12/2016,West Midlands Region,E12000005,72
01/12/2016,Yorkshire and The Humber,E12000003,107
01/12/2016,England,E92000001,650
01/12/2016,Wales,W92000004,71
01/01/2017,East Midlands,E12000004,45
01/01/2017,East of England,E12000006,12
01/01/2017,London,E12000007,34
01/01/2017,North East,E12000001,95
01/01/2017,North West,E12000002,153
01/01/2017,South East,E12000008,64
01/01/2017,South West,E12000009,41
01/01/2017,West Midlands Region,E12000005,53
01/01/2017,Yorkshire and The Humber,E12000003,92
01/01/2017,England,E92000001,589
01/01/2017,Wales,W92000004,63
01/02/2017,East Midlands,E12000004,37
01/02/2017,East of England,E12000006,18
01/02/2017,London,E12000007,50
01/02/2017,North East,E12000001,87
01/02/2017,North West,E12000002,140
01/02/2017,South East,E12000008,88
01/02/2017,South West,E12000009,53
01/02/2017,West Midlands Region,E12000005,71
01/02/2017,Yorkshire and The Humber,E12000003,117
01/02/2017,England,E92000001,661
01/02/2017,Wales,W92000004,58
01/03/2017,East Midlands,E12000004,80
01/03/2017,East of England,E12000006,16
01/03/2017,London,E12000007,57
01/03/2017,North East,E12000001,103
01/03/2017,North West,E12000002,197
01/03/2017,South East,E12000008,84
01/03/2017,South West,E12000009,62
01/03/2017,West Midlands Region,E12000005,98
01/03/2017,Yorkshire and The Humber,E12000003,151
01/03/2017,England,E92000001,848
01/03/2017,Wales,W92000004,84
01/04/2017,East Midlands,E12000004,47
01/04/2017,East of England,E12000006,15
01/04/2017,London,E12000007,58
01/04/2017,North East,E12000001,88
01/04/2017,North West,E12000002,123
01/04/2017,South East,E12000008,59
01/04/2017,South West,E12000009,49
01/04/2017,West Midlands Region,E12000005,51
01/04/2017,Yorkshire and The Humber,E12000003,95
01/04/2017,England,E92000001,585
01/04/2017,Wales,W92000004,57
01/05/2017,East Midlands,E12000004,54
01/05/2017,East of England,E12000006,12
01/05/2017,London,E12000007,34
01/05/2017,North East,E12000001,76
01/05/2017,North West,E12000002,148
01/05/2017,South East,E12000008,61
01/05/2017,South West,E12000009,43
01/05/2017,West Midlands Region,E12000005,78
01/05/2017,Yorkshire and The Humber,E12000003,94
01/05/2017,England,E92000001,600
01/05/2017,Wales,W92000004,76
01/06/2017,East Midlands,E12000004,65
01/06/2017,East of England,E12000006,18
01/06/2017,London,E12000007,53
01/06/2017,North East,E12000001,98
01/06/2017,North West,E12000002,154
01/06/2017,South East,E12000008,76
01/06/2017,South West,E12000009,45
01/06/2017,West Midlands Region,E12000005,73
01/06/2017,Yorkshire and The Humber,E12000003,112
01/06/2017,England,E92000001,694
01/06/2017,Wales,W92000004,66
01/07/2017,East Midlands,E12000004,50
01/07/2017,East of England,E12000006,18
01/07/2017,London,E12000007,32
01/07/2017,North East,E12000001,75
01/07/2017,North West,E12000002,146
01/07/2017,South East,E12000008,69
01/07/2017,South West,E12000009,42
01/07/2017,West Midlands Region,E12000005,57
01/07/2017,Yorkshire and The Humber,E12000003,82
01/07/2017,England,E92000001,571
01/07/2017,Wales,W92000004,61
01/08/2017,East Midlands,E12000004,62
01/08/2017,East of England,E12000006,11
01/08/2017,London,E12000007,57
01/08/2017,North East,E12000001,77
01/08/2017,North West,E12000002,128
01/08/2017,South East,E12000008,56
01/08/2017,South West,E12000009,47
01/08/2017,West Midlands Region,E12000005,80
01/08/2017,Yorkshire and The Humber,E12000003,109
01/08/2017,England,E92000001,627
01/08/2017,Wales,W92000004,76
01/09/2017,East Midlands,E12000004,51
01/09/2017,East of England,E12000006,14
01/09/2017,London,E12000007,30
01/09/2017,North East,E12000001,82
01/09/2017,North West,E12000002,160
01/09/2017,South East,E12000008,62
01/09/2017,South West,E12000009,28
01/09/2017,West Midlands Region,E12000005,78
01/09/2017,Yorkshire and The Humber,E12000003,98
01/09/2017,England,E92000001,603
01/09/2017,Wales,W92000004,71
01/10/2017,East Midlands,E12000004,62
01/10/2017,East of England,E12000006,18
01/10/2017,London,E12000007,52
01/10/2017,North East,E12000001,101
01/10/2017,North West,E12000002,171
01/10/2017,South East,E12000008,58
01/10/2017,South West,E12000009,42
01/10/2017,West Midlands Region,E12000005,68
01/10/2017,Yorkshire and The Humber,E12000003,125
01/10/2017,England,E92000001,697
01/10/2017,Wales,W92000004,73
01/11/2017,East Midlands,E12000004,69
01/11/2017,East of England,E12000006,21
01/11/2017,London,E12000007,45
01/11/2017,North East,E12000001,93
01/11/2017,North West,E12000002,181
01/11/2017,South East,E12000008,61
01/11/2017,South West,E12000009,38
01/11/2017,West Midlands Region,E12000005,72
01/11/2017,Yorkshire and The Humber,E12000003,128
01/11/2017,England,E92000001,708
01/11/2017,Wales,W92000004,78
01/12/2017,East Midlands,E12000004,58
01/12/2017,East of England,E12000006,13
01/12/2017,London,E12000007,31
01/12/2017,North East,E12000001,99
01/12/2017,North West,E12000002,153
01/12/2017,South East,E12000008,54
01/12/2017,South West,E12000009,45
01/12/2017,West Midlands Region,E12000005,56
01/12/2017,Yorkshire and The Humber,E12000003,84
01/12/2017,England,E92000001,593
01/12/2017,Wales,W92000004,53
01/01/2018,East Midlands,E12000004,37
01/01/2018,East of England,E12000006,17
01/01/2018,London,E12000007,52
01/01/2018,North East,E12000001,80
01/01/2018,North West,E12000002,154
01/01/2018,South East,E12000008,51
01/01/2018,South West,E12000009,42
01/01/2018,West Midlands Region,E12000005,77
01/01/2018,Yorkshire and The Humber,E12000003,102
01/01/2018,England,E92000001,612
01/01/2018,Wales,W92000004,70
01/02/2018,East Midlands,E12000004,46
01/02/2018,East of England,E12000006,17
01/02/2018,London,E12000007,34
01/02/2018,North East,E12000001,63
01/02/2018,North West,E12000002,161
01/02/2018,South East,E12000008,63
01/02/2018,South West,E12000009,54
01/02/2018,West Midlands Region,E12000005,70
01/02/2018,Yorkshire and The Humber,E12000003,98
01/02/2018,England,E92000001,606
01/02/2018,Wales,W92000004,62
01/03/2018,East Midlands,E12000004,54
01/03/2018,East of England,E12000006,14
01/03/2018,London,E12000007,54
01/03/2018,North East,E12000001,95
01/03/2018,North West,E12000002,180
01/03/2018,South East,E12000008,73
01/03/2018,South West,E12000009,43
01/03/2018,West Midlands Region,E12000005,64
01/03/2018,Yorkshire and The Humber,E12000003,89
01/03/2018,England,E92000001,666
01/03/2018,Wales,W92000004,63
01/04/2018,East Midlands,E12000004,45
01/04/2018,East of England,E12000006,11
01/04/2018,London,E12000007,43
01/04/2018,North East,E12000001,73
01/04/2018,North West,E12000002,137
01/04/2018,South East,E12000008,54
01/04/2018,South West,E12000009,48
01/04/2018,West Midlands Region,E12000005,49
01/04/2018,Yorkshire and The Humber,E12000003,89
01/04/2018,England,E92000001,549
01/04/2018,Wales,W92000004,65
01/05/2018,East Midlands,E12000004,43
01/05/2018,East of England,E12000006,13
01/05/2018,London,E12000007,57
01/05/2018,North East,E12000001,109
01/05/2018,North West,E12000002,176
01/05/2018,South East,E12000008,57
01/05/2018,South West,E12000009,46
01/05/2018,West Midlands Region,E12000005,69
01/05/2018,Yorkshire and The Humber,E12000003,101
01/05/2018,England,E92000001,671
01/05/2018,Wales,W92000004,50
01/06/2018,East Midlands,E12000004,42
01/06/2018,East of England,E12000006,17
01/06/2018,London,E12000007,46
01/06/2018,North East,E12000001,80
01/06/2018,North West,E12000002,145
01/06/2018,South East,E12000008,63
01/06/2018,South West,E12000009,53
01/06/2018,West Midlands Region,E12000005,61
01/06/2018,Yorkshire and The Humber,E12000003,114
01/06/2018,England,E92000001,621
01/06/2018,Wales,W92000004,65
01/07/2018,East Midlands,E12000004,49
01/07/2018,East of England,E12000006,11
01/07/2018,London,E12000007,44
01/07/2018,North East,E12000001,88
01/07/2018,North West,E12000002,144
01/07/2018,South East,E12000008,73
01/07/2018,South West,E12000009,33
01/07/2018,West Midlands Region,E12000005,63
01/07/2018,Yorkshire and The Humber,E12000003,70
01/07/2018,England,E92000001,575
01/07/2018,Wales,W92000004,70
01/08/2018,East Midlands,E12000004,28
01/08/2018,East of England,E12000006,15
01/08/2018,London,E12000007,46
01/08/2018,North East,E12000001,99
01/08/2018,North West,E12000002,172
01/08/2018,South East,E12000008,46
01/08/2018,South West,E12000009,38
01/08/2018,West Midlands Region,E12000005,71
01/08/2018,Yorkshire and The Humber,E12000003,95
01/08/2018,England,E92000001,610
01/08/2018,Wales,W92000004,61
01/09/2018,East Midlands,E12000004,35
01/09/2018,East of England,E12000006,8
01/09/2018,London,E12000007,40
01/09/2018,North East,E12000001,66
01/09/2018,North West,E12000002,111
01/09/2018,South East,E12000008,39
01/09/2018,South West,E12000009,32
01/09/2018,West Midlands Region,E12000005,60
01/09/2018,Yorkshire and The Humber,E12000003,86
01/09/2018,England,E92000001,477
01/09/2018,Wales,W92000004,46
01/10/2018,East Midlands,E12000004,54
01/10/2018,East of England,E12000006,14
01/10/2018,London,E12000007,48
01/10/2018,North East,E12000001,89
01/10/2018,North West,E12000002,166
01/10/2018,South East,E12000008,68
01/10/2018,South West,E12000009,40
01/10/2018,West Midlands Region,E12000005,67
01/10/2018,Yorkshire and The Humber,E12000003,84
01/10/2018,England,E92000001,630
01/10/2018,Wales,W92000004,64
01/11/2018,East Midlands,E12000004,48
01/11/2018,East of England,E12000006,17
01/11/2018,London,E12000007,39
01/11/2018,North East,E12000001,91
01/11/2018,North West,E12000002,162
01/11/2018,South East,E12000008,58
01/11/2018,South West,E12000009,39
01/11/2018,West Midlands Region,E12000005,56
01/11/2018,Yorkshire and The Humber,E12000003,105
01/11/2018,England,E92000001,615
01/11/2018,Wales,W92000004,67
01/12/2018,East Midlands,E12000004,36
01/12/2018,East of England,E12000006,18
01/12/2018,London,E12000007,39
01/12/2018,North East,E12000001,74
01/12/2018,North West,E12000002,118
01/12/2018,South East,E12000008,49
01/12/2018,South West,E12000009,25
01/12/2018,West Midlands Region,E12000005,61
01/12/2018,Yorkshire and The Humber,E12000003,88
01/12/2018,England,E92000001,508
01/12/2018,Wales,W92000004,51
01/01/2019,East Midlands,E12000004,48
01/01/2019,East of England,E12000006,16
01/01/2019,London,E12000007,44
01/01/2019,North East,E12000001,77
01/01/2019,North West,E12000002,150
01/01/2019,South East,E12000008,52
01/01/2019,South West,E12000009,40
01/01/2019,West Midlands Region,E12000005,42
01/01/2019,Yorkshire and The Humber,E12000003,89
01/01/2019,England,E92000001,558
01/01/2019,Wales,W92000004,44
01/02/2019,East Midlands,E12000004,54
01/02/2019,East of England,E12000006,18
01/02/2019,London,E12000007,47
01/02/2019,North East,E12000001,83
01/02/2019,North West,E12000002,144
01/02/2019,South East,E12000008,61
01/02/2019,South West,E12000009,60
01/02/2019,West Midlands Region,E12000005,45
01/02/2019,Yorkshire and The Humber,E12000003,89
01/02/2019,England,E92000001,601
01/02/2019,Wales,W92000004,56
01/03/2019,East Midlands,E12000004,50
01/03/2019,East of England,E12000006,9
01/03/2019,London,E12000007,48
01/03/2019,North East,E12000001,100
01/03/2019,North West,E12000002,180
01/03/2019,South East,E12000008,63
01/03/2019,South West,E12000009,54
01/03/2019,West Midlands Region,E12000005,55
01/03/2019,Yorkshire and The Humber,E12000003,90
01/03/2019,England,E92000001,649
01/03/2019,Wales,W92000004,59
01/04/2019,East Midlands,E12000004,49
01/04/2019,East of England,E12000006,19
01/04/2019,London,E12000007,40
01/04/2019,North East,E12000001,73
01/04/2019,North West,E12000002,136
01/04/2019,South East,E12000008,62
01/04/2019,South West,E12000009,75
01/04/2019,West Midlands Region,E12000005,59
01/04/2019,Yorkshire and The Humber,E12000003,106
01/04/2019,England,E92000001,619
01/04/2019,Wales,W92000004,44
01/05/2019,East Midlands,E12000004,58
01/05/2019,East of England,E12000006,13
01/05/2019,London,E12000007,64
01/05/2019,North East,E12000001,95
01/05/2019,North West,E12000002,168
01/05/2019,South East,E12000008,98
01/05/2019,South West,E12000009,52
01/05/2019,West Midlands Region,E12000005,71
01/05/2019,Yorkshire and The Humber,E12000003,97
01/05/2019,England,E92000001,716
01/05/2019,Wales,W92000004,68
01/06/2019,East Midlands,E12000004,57
01/06/2019,East of England,E12000006,15
01/06/2019,London,E12000007,44
01/06/2019,North East,E12000001,112
01/06/2019,North West,E12000002,121
01/06/2019,South East,E12000008,44
01/06/2019,South West,E12000009,48
01/06/2019,West Midlands Region,E12000005,61
01/06/2019,Yorkshire and The Humber,E12000003,98
01/06/2019,England,E92000001,600
01/06/2019,Wales,W92000004,43
01/07/2019,East Midlands,E12000004,55
01/07/2019,East of England,E12000006,19
01/07/2019,London,E12000007,44
01/07/2019,North East,E12000001,114
01/07/2019,North West,E12000002,110
01/07/2019,South East,E12000008,98
01/07/2019,South West,E12000009,42
01/07/2019,West Midlands Region,E12000005,73
01/07/2019,Yorkshire and The Humber,E12000003,117
01/07/2019,England,E92000001,672
01/07/2019,Wales,W92000004,64
01/08/2019,East Midlands,E12000004,46
01/08/2019,East of England,E12000006,17
01/08/2019,London,E12000007,60
01/08/2019,North East,E12000001,107
01/08/2019,North West,E12000002,139
01/08/2019,South East,E12000008,70
01/08/2019,South West,E12000009,49
01/08/2019,West Midlands Region,E12000005,64
01/08/2019,Yorkshire and The Humber,E12000003,109
01/08/2019,England,E92000001,661
01/08/2019,Wales,W92000004,55
01/09/2019,East Midlands,E12000004,55
01/09/2019,East of England,E12000006,17
01/09/2019,London,E12000007,51
01/09/2019,North East,E12000001,95
01/09/2019,North West,E12000002,144
01/09/2019,South East,E12000008,61
01/09/2019,South West,E12000009,35
01/09/2019,West Midlands Region,E12000005,63
01/09/2019,Yorkshire and The Humber,E12000003,87
01/09/2019,England,E92000001,608
01/09/2019,Wales,W92000004,55
01/10/2019,East Midlands,E12000004,60
01/10/2019,East of England,E12000006,17
01/10/2019,London,E12000007,51
01/10/2019,North East,E12000001,118
01/10/2019,North West,E12000002,192
01/10/2019,South East,E12000008,84
01/10/2019,South West,E12000009,48
01/10/2019,West Midlands Region,E12000005,75
01/10/2019,Yorkshire and The Humber,E12000003,103
01/10/2019,England,E92000001,748
01/10/2019,Wales,W92000004,56
01/11/2019,East Midlands,E12000004,55
01/11/2019,East of England,E12000006,15
01/11/2019,London,E12000007,57
01/11/2019,North East,E12000001,117
01/11/2019,North West,E12000002,144
01/11/2019,South East,E12000008,63
01/11/2019,South West,E12000009,63
01/11/2019,West Midlands Region,E12000005,68
01/11/2019,Yorkshire and The Humber,E12000003,97
01/11/2019,England,E92000001,679
01/11/2019,Wales,W92000004,66
01/12/2019,East Midlands,E12000004,35
01/12/2019,East of England,E12000006,17
01/12/2019,London,E12000007,45
01/12/2019,North East,E12000001,69
01/12/2019,North West,E12000002,168
01/12/2019,South East,E12000008,62
01/12/2019,South West,E12000009,36
01/12/2019,West Midlands Region,E12000005,69
01/12/2019,Yorkshire and The Humber,E12000003,105
01/12/2019,England,E92000001,606
01/12/2019,Wales,W92000004,50
01/01/2020,East Midlands,E12000004,62
01/01/2020,East of England,E12000006,15
01/01/2020,London,E12000007,58
01/01/2020,North East,E12000001,113
01/01/2020,North West,E12000002,157
01/01/2020,South East,E12000008,66
01/01/2020,South West,E12000009,40
01/01/2020,West Midlands Region,E12000005,67
01/01/2020,Yorkshire and The Humber,E12000003,112
01/01/2020,England,E92000001,690
01/01/2020,Wales,W92000004,57
01/02/2020,East Midlands,E12000004,49
01/02/2020,East of England,E12000006,16
01/02/2020,London,E12000007,40
01/02/2020,North East,E12000001,93
01/02/2020,North West,E12000002,110
01/02/2020,South East,E12000008,56
01/02/2020,South West,E12000009,40
01/02/2020,West Midlands Region,E12000005,61
01/02/2020,Yorkshire and The Humber,E12000003,105
01/02/2020,England,E92000001,570
01/02/2020,Wales,W92000004,46
01/03/2020,East Midlands,E12000004,42
01/03/2020,East of England,E12000006,16
01/03/2020,London,E12000007,63
01/03/2020,North East,E12000001,84
01/03/2020,North West,E12000002,132
01/03/2020,South East,E12000008,57
01/03/2020,South West,E12000009,46
01/03/2020,West Midlands Region,E12000005,47
01/03/2020,Yorkshire and The Humber,E12000003,83
01/03/2020,England,E92000001,570
01/03/2020,Wales,W92000004,50
01/04/2020,East Midlands,E12000004,17
01/04/2020,East of England,E12000006,6
01/04/2020,London,E12000007,28
01/04/2020,North East,E12000001,35
01/04/2020,North West,E12000002,53
01/04/2020,South East,E12000008,17
01/04/2020,South West,E12000009,15
01/04/2020,West Midlands Region,E12000005,27
01/04/2020,Yorkshire and The Humber,E12000003,42
01/04/2020,England,E92000001,240
01/04/2020,Wales,W92000004,24
01/05/2020,East Midlands,E12000004,23
01/05/2020,East of England,E12000006,9
01/05/2020,London,E12000007,24
01/05/2020,North East,E12000001,61
01/05/2020,North West,E12000002,67
01/05/2020,South East,E12000008,33
01/05/2020,South West,E12000009,18
01/05/2020,West Midlands Region,E12000005,27
01/05/2020,Yorkshire and The Humber,E12000003,43
01/05/2020,England,E92000001,305
01/05/2020,Wales,W92000004,27
01/06/2020,East Midlands,E12000004,20
01/06/2020,East of England,E12000006,8
01/06/2020,London,E12000007,39
01/06/2020,North East,E12000001,68
01/06/2020,North West,E12000002,91
01/06/2020,South East,E12000008,44
01/06/2020,South West,E12000009,25
01/06/2020,West Midlands Region,E12000005,25
01/06/2020,Yorkshire and The Humber,E12000003,56
01/06/2020,England,E92000001,376
01/06/2020,Wales,W92000004,18
01/07/2020,East Midlands,E12000004,31
01/07/2020,East of England,E12000006,10
01/07/2020,London,E12000007,43
